"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5CQAVJTV","book","2014","Caddoo, Cara","Envisioning Freedom: Cinema and the Building of Modern Black Life","","","","","","","2014","2016-04-14 21:16:52","2016-06-06 20:40:16","","","","","","","","Envisioning freedom","","","","","Harvard University Press","Cambridge, Mass.","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/55AXMX6K/875999879&referer=brief_results.html","","added","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5DXZ28BZ","book","2001","Williams, Linda","Playing the race card : melodramas of black and white from Uncle Tom to O.J. Simpson","","978-0-691-05800-9","","","","","2001","2016-04-14 21:21:28","2016-04-14 21:21:28","","","","","","","","Playing the race card","","","","","Princeton University Press","Princeton  N.J.","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/W7AQKVM2/44586476&referer=brief_results.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NSGDNXU","webpage","","","Integrating the Life of the Mind: African Americans at the University of Chicago, 1870 - 1940 >","","","","","http://www.lib.uchicago.edu/e/webexhibits/IntegratingTheLifeOfTheMind/CreditStudyingScience.html","","","2016-05-16 17:53:12","2016-05-16 17:53:12","2016-05-16 17:53:12","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/9FFF72PB/CreditStudyingScience.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77RQIEWR","webpage","","","MC Journal. African-American Video Resources: A Select Guide by Patricia McGee","","","","","http://wings.buffalo.edu/publications/mcjrnl/v7n2/mcgee.html","","","2016-04-14 21:10:14","2016-04-14 21:10:14","2016-04-14 21:10:14","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/MBXDFNEB/mcgee.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7VXZ5ES4","webpage","","","Guide to the African Americans in Film Collection of Press Books, Campaign Books, Advertising Manuals, and Ephemera, 1919-2000 | Collection Guides | Rubenstein Library","","","","","http://library.duke.edu/rubenstein/findingaids/africanamericansfilm/","","","2016-04-14 21:58:18","2016-04-14 21:58:18","2016-04-14 21:58:18","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/FDHFZREN/africanamericansfilm.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"824WHRGI","webpage","","","North Star: Film Resources","","","","","https://www.princeton.edu/~jweisenf/northstar/volume2/v2n2doc.html","","","2016-04-14 21:15:01","2016-04-14 21:15:01","2016-04-14 21:15:01","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/XXX48HH8/v2n2doc.html","","added","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8W66VKBW","webpage","","","Solomon Sir Jones Films, 1924-1928 | Beinecke Rare Book & Manuscript Library","","","","","http://beinecke.library.yale.edu/collections/highlights/solomon-sir-jones-films-1924-1928","","","2016-04-14 21:05:33","2016-04-14 21:05:33","2016-04-14 21:05:33","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/T55QE75G/solomon-sir-jones-films-1924-1928.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9GP6PIM6","webpage","","","Booker T. Washington and W. E. B. Du Bois: The Origins of a Bitter Intellectual Battle (Article, 2004) [UCLA Library]","","","","","http://ucla.worldcat.org/oclc/15400362650552&referer=brief_results","","","2016-04-14 21:28:33","2016-04-14 21:28:33","2016-04-14 21:28:33","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/F5KFCHNV/15400362650552&referer=brief_results.html","","Intellectual Battle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9VXVHXZQ","book","1996","Bernardi, Daniel, ed.","The Birth of Whiteness: Race and the Emergence of U.S. Cinema","","","","","","","1996","2016-04-14 21:46:23","2016-04-14 21:47:17","","","","","","","","","","","","","Rutgers University Press","New Brunswick  N.J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A4V3ADBU","webpage","","","Norman Studios | Preserving Jacksonville's Silent Film Legacy","","","","","http://www.normanstudios.org/","","","2016-04-14 21:55:22","2016-04-14 21:55:22","2016-04-14 21:55:22","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/9U7E6T5R/www.normanstudios.org.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
